url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/20081708,"""Angiolillo, M. and Di Lorenzo, B. and Bo, M. and Fortibuoni, T. and Canese, S. and Cau, Al and Bavestrello, G. and Tunesi, L. and Toma, M.""",2,2,4,4,2,2,4,4
https://zenodo.org/records/20081694,"""Khojanov Gafur Gayratbayevich""",7,6,12,12,7,6,12,12
https://zenodo.org/records/20081692,"""Roʻziqulov, SH.M. and Odilbekova, Gulsanamxon""",6,5,3,3,6,5,3,3
https://zenodo.org/records/20081712,"""LifeWatch ERIC""",6,5,3,3,6,5,3,3
https://zenodo.org/records/20074109,"""Anonymous, Anonymous""",7,7,12,6,7,7,6,12
https://zenodo.org/records/20081603,"""Angelidou, Margarita""",49,37,59,41,49,37,41,59
https://zenodo.org/records/20081683,"""Usai, Luigi""",1,1,5,5,1,1,5,5
https://zenodo.org/records/20081689,"""Утамбетова А.Ж.""",3,3,2,2,3,3,2,2
https://zenodo.org/records/20081605,"""Kanchan Haresh Kedari""",4,4,7,6,4,4,6,7
https://zenodo.org/records/20081557,"""Xu, Antao and Just, Kira and Stohl, Jonathan and Frank, Norbert""",7,7,22,18,6,6,8,9
https://zenodo.org/records/20081670,"""Miss Sunmathi V and Dr. Sreeja S""",2,2,7,6,2,2,6,7
https://zenodo.org/records/18306943,"""Michailidis, Andriana""",7,7,8,4,7,7,4,8
https://zenodo.org/records/20081431,"""Kihm, Alain""",5,4,3,3,5,4,3,3
https://zenodo.org/records/20081651,"""Turg'unova Shaxnoza Tursunovna""",4,3,5,4,4,3,4,5
https://zenodo.org/records/20081659,"""Тлеуниязова Г.Б.""",4,4,2,2,4,4,2,2
https://zenodo.org/records/20081639,"""Barry, David""",14,13,8,8,11,10,3,3
https://zenodo.org/records/20081655,"""Shavkatova, Gulidabonu""",6,5,3,3,6,5,3,3
https://zenodo.org/records/20081657,"""Tecnológico Nacional de México""",7,5,4,3,7,5,3,4
https://zenodo.org/records/20081586,"""Moiroux, Nicolas""",6,3,3,2,6,3,2,3
https://zenodo.org/records/20081636,"""HUANG, SHAO CHI""",0,0,2,1,0,0,1,2
https://zenodo.org/records/20081630,"""Narra Anjali, Sandela Purnananda, Rachuti Rithvika and Guide: Mrs. J. Jyotsna""",6,5,3,3,6,5,3,3
https://zenodo.org/records/20081208,"""Vagnoni, Simone and Rodriguez-Doncel, Victor and Palmirani, Monica""",5,5,7,5,5,5,5,7
https://zenodo.org/records/20081551,"""Van Meerbeeck, Damien and Lequen, Arnaud and Pesant, Gilles and Seipp, Jendrik""",2,2,19,13,2,2,13,19
https://zenodo.org/records/20081599,"""Oteniyazova X.E.""",4,4,2,2,4,4,2,2
